TextID:	5c9ef00b96898e24c65d1e11acbd9d8f
Gesamtzeit:	4.1 Sekunden
Zeichenzahl:	23
TpM:	336.38
Fehlerquote:	4.17%
Gesamtfehler:	1

--------------------------------------------------
E	0	0	0	0	
r	240	0	279	0	
 	160	0	210	0	
h	202	0	310	0	
ö	412	0	728	1	
r	210	0	200	0	
t	189	0	208	0	
e	79	0	85	0	
 	116	0	111	0	
l	160	0	87	0	
e	103	0	94	0	
i	134	0	155	0	
s	86	1	83	0	
e	439	0	98	0	
 	244	0	97	0	
S	326	0	303	0	
c	178	0	207	0	
h	119	0	135	0	
r	142	0	189	0	
i	122	0	114	0	
t	115	0	133	0	
t	172	0	177	0	
e	94	0	99	0	
