TextID:	5c9ef00b96898e24c65d1e11acbd9d8f
Gesamtzeit:	5.01 Sekunden
Zeichenzahl:	23
TpM:	275.68
Fehlerquote:	11.54%
Gesamtfehler:	3

--------------------------------------------------
E	0	0	0	0	
r	327	0	287	0	
 	213	0	201	0	
h	480	0	541	0	
ö	381	0	321	0	
r	157	0	120	0	
t	192	0	200	0	
e	74	0	81	0	
 	104	0	115	0	
l	44	0	209	0	
e	138	0	115	0	
i	134	0	135	0	
s	99	0	111	0	
e	91	0	98	0	
 	98	0	151	0	
S	201	0	263	0	
c	175	0	178	0	
h	110	0	101	0	
r	152	0	322	1	
i	109	0	818	1	
t	139	0	342	1	
t	186	0	199	0	
e	105	0	98	0	
