TextID:	5c9ef00b96898e24c65d1e11acbd9d8f
Zeichenzahl:	23

--------------------------------------------------
4		.		5		2		
3		0		5		.		5		1		
1		1		.		5		4		
3		

--------------------------------------------------
E	0	0	715	2	
r	228	0	235	0	
 	145	0	174	0	
h	97	0	94	0	
ö	297	0	325	0	
r	107	0	517	1	
t	196	0	248	0	
e	84	0	139	0	
 	102	0	144	0	
l	71	0	164	0	
e	110	0	123	0	
i	113	0	113	0	
s	113	0	93	0	
e	69	0	88	0	
 	96	0	93	0	
S	197	0	195	0	
c	152	0	144	0	
h	424	1	180	0	
r	617	0	186	0	
i	196	0	150	0	
t	118	0	136	0	
t	160	0	166	0	
e	93	0	94	0	
