TextID:	5c9ef00b96898e24c65d1e11acbd9d8f
Zeichenzahl:	23

--------------------------------------------------
t	3.89		3.97		3.34		
tpm	354.97		347.35		413.76		
fehler	4.17		8.0		0.0		
gesamtf	1		2		0		

--------------------------------------------------
E	0	0	0	0	0	0	
r	293	0	254	0	303	0	
 	102	0	98	0	161	0	
h	115	0	129	0	315	0	
ö	301	0	1030	2	313	0	
r	165	1	156	0	79	0	
t	465	0	200	0	196	0	
e	118	0	94	0	74	0	
 	145	0	131	0	59	0	
l	171	0	93	0	76	0	
e	92	0	92	0	140	0	
i	139	0	124	0	89	0	
s	79	0	79	0	126	0	
e	93	0	106	0	78	0	
 	94	0	77	0	123	0	
S	178	0	192	0	167	0	
c	151	0	124	0	172	0	
h	157	0	299	0	129	0	
r	212	0	154	0	132	0	
i	403	0	140	0	113	0	
t	158	0	140	0	219	0	
t	166	0	169	0	179	0	
e	92	0	90	0	93	0	
