TextID:	5c9ef00b96898e24c65d1e11acbd9d8f
Gesamtzeit:	5.12 Sekunden
Zeichenzahl:	23
TpM:	269.68
Fehlerquote:	8.0%
Gesamtfehler:	2

--------------------------------------------------
E	948	3	1298	2	
r	286	0	324	0	
 	302	0	264	0	
h	206	0	128	0	
ö	277	0	300	0	
r	104	0	161	0	
t	218	0	207	0	
e	83	0	94	0	
 	83	0	117	0	
l	746	2	411	0	
e	142	0	102	0	
i	123	0	128	0	
s	95	0	84	0	
e	92	0	114	0	
 	123	0	98	0	
S	251	0	259	0	
c	234	0	209	0	
h	99	0	122	0	
r	140	0	180	0	
i	107	0	110	0	
t	151	0	136	0	
t	175	0	186	0	
e	70	0	86	0	
