TextID:	5c9ef00b96898e24c65d1e11acbd9d8f
Gesamtzeit:	4.69 Sekunden
Zeichenzahl:	23
TpM:	294.22
Fehlerquote:	0.0%
Gesamtfehler:	0

--------------------------------------------------
E	0	0	800	1	0	0	0	0	
r	316	0	284	0	290	0	313	0	
 	336	0	185	0	216	0	287	0	
h	391	0	184	0	605	0	923	0	
ö	665	0	265	0	479	0	513	0	
r	77	0	98	0	566	0	184	0	
t	198	0	182	0	209	0	243	0	
e	100	0	103	0	103	0	86	0	
 	122	0	169	0	264	0	161	0	
l	173	0	112	0	742	0	117	0	
e	107	0	125	0	459	0	117	0	
i	129	0	124	0	528	0	128	0	
s	114	0	89	0	117	0	118	0	
e	151	0	194	0	87	0	83	0	
 	270	0	161	0	170	0	136	0	
S	410	0	275	0	333	0	257	0	
c	241	0	188	0	204	0	213	0	
h	102	0	153	0	136	0	149	0	
r	162	0	124	0	152	0	148	0	
i	202	0	117	0	141	0	123	0	
t	169	0	121	0	187	0	132	0	
t	172	0	183	0	173	0	171	0	
e	95	0	84	0	101	0	88	0	
